Rating;Year;Date;Player;Salary;Position;Bat_Order;Opp_Pitcher;Opp
3.9;2022;04/07/2022;65.05;A. McCutchen (R);$14;OF;4;MIL
3.9;2022;04/07/2022;65.05;H. Renfroe (R);$15;OF;6;MIL
3.7;2022;04/07/2022;64.55;Ozzie Albies (S);$18;2B;5;ATL
3.7;2022;04/07/2022;64.45;Matt Olson (L);$20;1B;2;ATL
3.9;2022;04/07/2022;64.10;Kolten Wong (L);$15;2B;1;MIL
3.9;2022;04/07/2022;63.90;C. Yelich (L);$14;OF;3;MIL
4.3;2022;04/07/2022;63.35;Trent Grisham (L);$14;OF;9;SD
3.7;2022;04/07/2022;62.95;D. Swanson (R);$14;SS;9;ATL
3.7;2022;04/07/2022;62.85;Austin Riley (R);$19;3B;3;ATL
3.7;2022;04/07/2022;62.65;Marcell Ozuna (R);$16;OF;4;ATL
4.3;2022;04/07/2022;62.60;Luke Voit (R);$14;1B;4;SD
5;2022;04/07/2022;60.55;Josh Bell (S);$17;1B;4;WSH
4.7;2022;04/07/2022;60.35;Mark Canha (R);$19;OF;7;NYM
3.7;2022;04/07/2022;60.15;Eddie Rosario (L);$19;OF;1;ATL
4.7;2022;04/07/2022;60.10;Jeff McNeil (L);$14;2B;8;NYM
3.9;2022;04/07/2022;59.75;Willy Adames (R);$16;SS;2;MIL
3.7;2022;04/07/2022;58.15;Tommy Edman (S);$19;2B;9;STL
4.3;2022;04/07/2022;58.15;J. Cronenworth (L);$15;2B;3;SD
3.7;2022;04/07/2022;57.55;Tyler O'Neill (R);$21;OF;3;STL
3.7;2022;04/07/2022;57.35;Dylan Carlson (S);$19;OF;1;STL
3.9;2022;04/07/2022;56.95;Jace Peterson (L);$7;3B;9;MIL
4.7;2022;04/07/2022;56.65;James McCann (R);$15;C;9;NYM
3.9;2022;04/07/2022;56.60;Rowdy Tellez (L);$13;1B;5;MIL
3.9;2022;04/07/2022;56.15;Lorenzo Cain (R);$11;OF;8;MIL
4.8;2022;04/07/2022;56.10;Alex Bregman (R);$14;3B;3;HOU
4.3;2022;04/07/2022;55.60;Manny Machado (R);$19;3B;2;SD
3.7;2022;04/07/2022;55.45;Adam Duvall (R);$12;OF;6;ATL
3.7;2022;04/07/2022;55.35;T. d'Arnaud (R);$13;C;7;ATL
4.3;2022;04/07/2022;55.20;Wil Myers (R);$14;OF;5;SD
4.4;2022;04/07/2022;54.70;A. Rendon (R);$17;3B;3;LAA
4.7;2022;04/07/2022;54.55;S. Marte (R);$22;OF;1;NYM
4.7;2022;04/07/2022;54.55;E. Escobar (S);$18;3B;5;NYM
