Rating;Year;Date;Player;Salary;Position;Bat_Order;Opp_Pitcher;Opp
3.9;2022;04/07/2022;54.50;Omar Narvaez (L);$10;C;7;MIL
3.7;2022;04/07/2022;54.45;Nolan Arenado (R);$20;3B;4;STL
4.8;2022;04/07/2022;53.90;Kyle Tucker (L);$21;OF;6;HOU
4.7;2022;04/07/2022;53.85;Peter Alonso (R);$23;1B;4;NYM
4.7;2022;04/07/2022;53.85;F. Lindor (S);$22;SS;3;NYM
4.8;2022;04/07/2022;53.60;Jose Altuve (R);$20;2B;1;HOU
4.3;2022;04/07/2022;53.55;Eric Hosmer (L);$10;1B;6;SD
5;2022;04/07/2022;53.35;Juan Soto (L);$25;OF;2;WSH
4.3;2022;04/07/2022;53.25;J. Profar (S);$7;OF;7;SD
4.8;2022;04/07/2022;53.00;Y. Gurriel (R);$15;1B;5;HOU
3.7;2022;04/07/2022;52.95;P. Goldschmidt (R);$24;1B;2;STL
4.3;2022;04/07/2022;52.85;Ha-seong Kim (R);$7;SS;8;SD
4.4;2022;04/07/2022;52.70;Mike Trout (R);$24;OF;2;LAA
5;2022;04/07/2022;52.60;Lane Thomas (R);$15;OF;6;WSH
4.8;2022;04/07/2022;52.50;Y. Alvarez (L);$21;OF;4;HOU
4.4;2022;04/07/2022;52.50;Jared Walsh (L);$17;1B;6;LAA
3.7;2022;04/07/2022;52.45;Yadier Molina (R);$15;C;7;STL
4.4;2022;04/07/2022;52.40;Max Stassi (R);$12;C;7;LAA
3.7;2022;04/07/2022;52.05;A. Dickerson (L);$9;OF;8;ATL
4.9;2022;04/07/2022;51.90;Ketel Marte (S);$17;2B;2;ARI
5;2022;04/07/2022;51.70;A. Escobar (R);$12;SS;8;WSH
5;2022;04/07/2022;51.50;Nelson Cruz (R);$20;1B;3;WSH
5;2022;04/07/2022;51.45;Victor Robles (R);$7;OF;9;WSH
4.9;2022;04/07/2022;51.25;C. Walker (R);$14;1B;4;ARI
5.3;2022;04/07/2022;51.20;F. Schwindel (R);$14;1B;5;CHC
4.4;2022;04/07/2022;50.40;Brandon Marsh (L);$9;OF;8;LAA
4.4;2022;04/07/2022;50.40;Jo Adell (R);$15;OF;5;LAA
3.7;2022;04/07/2022;50.15;Albert Pujols (R);$11;1B;5;STL
4.9;2022;04/07/2022;49.95;David Peralta (L);$8;OF;3;ARI
4.9;2022;04/07/2022;49.95;Pavin Smith (L);$8;OF;5;ARI
4.7;2022;04/07/2022;49.85;J.D. Davis (R);$9;3B;2;NYM
5;2022;04/07/2022;49.50;Joey Votto (L);$19;1B;4;CIN
3.7;2022;04/07/2022;48.95;H. Bader (R);$19;OF;8;STL
4.9;2022;04/07/2022;48.20;D. Varsho (L);$15;OF;1;ARI
5;2022;04/07/2022;47.90;J. India (R);$18;2B;1;CIN
4.5;2022;04/07/2022;47.80;Hoy Park (L);$7;3B;9;PIT
4.3;2022;04/07/2022;47.60;Austin Nola (R);$13;C;1;SD
5;2022;04/07/2022;47.35;Keibert Ruiz (S);$13;C;5;WSH
4.8;2022;04/07/2022;46.85;M. Maldonado (R);$8;C;9;HOU
4.5;2022;04/07/2022;46.85;K. Hayes (R);$15;3B;3;PIT
4.9;2022;04/07/2022;46.75;Carson Kelly (R);$12;C;6;ARI
5.3;2022;04/07/2022;46.65;Ian Happ (S);$14;OF;4;CHC
4.8;2022;04/07/2022;46.20;M. Brantley (L);$13;OF;2;HOU
3.7;2022;04/07/2022;45.95;Paul DeJong (R);$13;SS;6;STL
4.4;2022;04/07/2022;45.20;D. Fletcher (R);$10;SS;9;LAA
5;2022;04/07/2022;45.15;C. Hernandez (S);$12;2B;1;WSH
5.3;2022;04/07/2022;43.85;Nick Madrigal (R);$7;2B;2;CHC
5.3;2022;04/07/2022;43.80;P. Wisdom (R);$10;3B;8;CHC
5.3;2022;04/07/2022;43.80;Seiya Suzuki (R);$9;OF;6;CHC
5.3;2022;04/07/2022;43.40;Jason Heyward (L);$7;OF;7;CHC
4.8;2022;04/07/2022;43.30;C. McCormick (R);$12;OF;8;HOU
4.9;2022;04/07/2022;43.30;Seth Beer (L);$13;1B;7;ARI
5;2022;04/07/2022;42.00;M. Moustakas (L);$9;3B;7;CIN
5.3;2022;04/07/2022;41.50;Rafael Ortega (L);$8;OF;1;CHC
4.9;2022;04/07/2022;41.20;G. Perdomo (S);$10;SS;9;ARI
5.3;2022;04/07/2022;41.15;Nico Hoerner (R);$7;SS;9;CHC
5;2022;04/07/2022;40.60;Tommy Pham (R);$11;OF;3;CIN
4.5;2022;04/07/2022;40.30;Kevin Newman (R);$7;SS;5;PIT
4.5;2022;04/07/2022;39.45;B. Reynolds (S);$18;OF;2;PIT
4.5;2022;04/07/2022;39.00;Y. Tsutsugo (L);$8;1B;4;PIT
5.3;2022;04/07/2022;38.40;W. Contreras (R);$11;C;3;CHC
4.5;2022;04/07/2022;36.50;Ben Gamel (L);$8;OF;7;PIT
4.5;2022;04/07/2022;36.20;Dan Vogelbach (L);$7;1B;1;PIT
5;2022;04/07/2022;36.15;Nick Senzel (R);$7;OF;6;CIN
5;2022;04/07/2022;35.70;T. Stephenson (R);$11;C;5;CIN
4.5;2022;04/07/2022;35.60;Cole Tucker (S);$7;SS;6;PIT
5;2022;04/07/2022;34.90;Kyle Farmer (R);$10;SS;8;CIN
4.5;2022;04/07/2022;34.30;Roberto Perez (R);$7;C;8;PIT
5;2022;04/07/2022;32.60;A. Aquino (R);$9;OF;2;CIN
4.8;2022;04/08/2022;69.80;Max Muncy (L);$20;1B;5;LAD
4.8;2022;04/08/2022;68.20;Mookie Betts (R);$23;OF;1;LAD
4.8;2022;04/08/2022;65.90;Chris Taylor (R);$17;OF;7;LAD
4.8;2022;04/08/2022;65.90;C. Bellinger (L);$14;OF;8;LAD
7;2022;04/08/2022;65.55;C.J. Cron (R);$16;1B;4;COL
4.8;2022;04/08/2022;65.40;F. Freeman (L);$24;1B;2;LAD
7;2022;04/08/2022;65.35;Kris Bryant (R);$18;OF;2;COL
3.9;2022;04/08/2022;65.15;Matt Olson (L);$19;1B;2;ATL
4;2022;04/08/2022;64.90;G. Springer (R);$19;OF;1;TOR
4.8;2022;04/08/2022;64.90;Will Smith (R);$20;C;6;LAD
4;2022;04/08/2022;64.80;Matt Chapman (R);$15;3B;7;TOR
7;2022;04/08/2022;64.75;Elias Diaz (R);$14;C;8;COL
3.9;2022;04/08/2022;63.55;Ozzie Albies (S);$18;2B;1;ATL
3.8;2022;04/08/2022;62.90;S. Marte (R);$19;OF;2;NYM
3.8;2022;04/08/2022;62.90;Mark Canha (R);$14;OF;7;NYM
4;2022;04/08/2022;62.90;V. Guerrero Jr. (R);$24;1B;3;TOR
4.8;2022;04/08/2022;62.70;Justin Turner (R);$18;3B;4;LAD
4.7;2022;04/08/2022;62.60;Shohei Ohtani (L);$21;OF;1;LAA
3.8;2022;04/08/2022;62.60;Peter Alonso (R);$20;1B;4;NYM
4.8;2022;04/08/2022;62.50;Trea Turner (R);$25;2B;3;LAD
4.7;2022;04/08/2022;62.40;Mike Trout (R);$23;OF;2;LAA
4.7;2022;04/08/2022;62.40;Jared Walsh (L);$19;1B;4;LAA
4;2022;04/08/2022;62.10;Bo Bichette (R);$20;SS;2;TOR
4;2022;04/08/2022;62.00;Wil Myers (R);$13;OF;7;SD
7;2022;04/08/2022;61.55;Ryan McMahon (L);$15;3B;5;COL
3.9;2022;04/08/2022;61.45;Adam Duvall (R);$14;OF;5;ATL
7;2022;04/08/2022;60.55;B. Rodgers (R);$15;2B;3;COL
4;2022;04/08/2022;60.10;Manny Machado (R);$21;3B;2;SD
5.1;2022;04/08/2022;59.95;Alex Bregman (R);$15;3B;3;HOU
5.1;2022;04/08/2022;59.75;Jose Altuve (R);$21;2B;1;HOU
4;2022;04/08/2022;59.60;L. Gurriel (R);$15;OF;5;TOR
7;2022;04/08/2022;59.55;C. Blackmon (L);$15;OF;1;COL
4;2022;04/08/2022;59.00;T. Hernandez (R);$21;OF;4;TOR
7;2022;04/08/2022;58.05;Connor Joe (R);$10;OF;6;COL
4;2022;04/08/2022;57.95;J. Cronenworth (L);$17;2B;3;SD
5.1;2022;04/08/2022;57.75;Kyle Tucker (L);$22;OF;6;HOU
7;2022;04/08/2022;57.55;R. Grichuk (R);$13;OF;7;COL
4;2022;04/08/2022;57.50;A. Kirk (R);$9;C;6;TOR
4;2022;04/08/2022;57.40;Cavan Biggio (L);$11;2B;9;TOR
3.9;2022;04/08/2022;57.15;Austin Riley (R);$19;3B;3;ATL
3.9;2022;04/08/2022;56.50;Orlando Arcia (R);$7;SS;9;ATL
7;2022;04/08/2022;56.30;Jose Iglesias (R);$8;SS;9;COL
4.7;2022;04/08/2022;56.20;A. Rendon (R);$17;3B;3;LAA
3.9;2022;04/08/2022;56.15;D. Swanson (R);$13;SS;8;ATL
4;2022;04/08/2022;56.05;Trent Grisham (L);$16;OF;1;SD
4;2022;04/08/2022;55.80;Danny Jansen (R);$9;C;8;TOR
3.9;2022;04/08/2022;55.75;Marcell Ozuna (R);$16;OF;4;ATL
4.7;2022;04/08/2022;55.55;Jose Rojas (L);$7;OF;5;LAA
4.7;2022;04/08/2022;55.45;Tyler Wade (L);$7;2B;8;LAA
4.8;2022;04/08/2022;55.40;Gavin Lux (L);$12;2B;9;LAD
4.7;2022;04/08/2022;55.15;Kurt Suzuki (R);$9;C;7;LAA
4.7;2022;04/08/2022;55.10;Brandon Marsh (L);$9;OF;6;LAA
4;2022;04/08/2022;54.85;Eric Hosmer (L);$11;1B;5;SD
4;2022;04/08/2022;54.65;J. Profar (S);$9;OF;6;SD
4;2022;04/08/2022;54.45;Jorge Polanco (S);$16;2B;3;MIN
3.8;2022;04/08/2022;54.35;E. Escobar (S);$12;3B;5;NYM
4;2022;04/08/2022;54.35;Byron Buxton (R);$20;OF;1;MIN
4;2022;04/08/2022;54.30;Luke Voit (R);$16;1B;4;SD
3.8;2022;04/08/2022;54.25;F. Lindor (S);$20;SS;3;NYM
4;2022;04/08/2022;54.20;Jorge Alfaro (R);$12;C;9;SD
3.8;2022;04/08/2022;54.15;Brandon Nimmo (L);$11;OF;1;NYM
4.7;2022;04/08/2022;53.75;D. Varsho (L);$14;OF;6;ARI
4.7;2022;04/08/2022;53.00;D. Fletcher (R);$10;SS;9;LAA
4;2022;04/08/2022;52.75;Carlos Correa (R);$15;SS;2;MIN
5.2;2022;04/08/2022;52.75;Mitch Garver (R);$17;C;4;TEX
3.8;2022;04/08/2022;52.75;Tomas Nido (R);$7;C;9;NYM
3.8;2022;04/08/2022;52.70;Jeff McNeil (L);$9;2B;8;NYM
5.1;2022;04/08/2022;52.45;Y. Alvarez (L);$20;OF;4;HOU
5.1;2022;04/08/2022;52.40;Aledmys Diaz (R);$7;SS;5;HOU
5.1;2022;04/08/2022;52.35;Jose Siri (R);$10;OF;8;HOU
3.9;2022;04/08/2022;52.15;T. d'Arnaud (R);$13;C;7;ATL
4.2;2022;04/08/2022;51.60;Ty France (R);$15;1B;2;SEA
5.3;2022;04/08/2022;51.40;Joey Votto (L);$19;1B;4;CIN
4.2;2022;04/08/2022;51.40;Mitch Haniger (R);$19;OF;4;SEA
5.2;2022;04/08/2022;51.15;Nate Lowe (L);$18;1B;5;TEX
4.2;2022;04/08/2022;50.55;Jesse Winker (L);$18;OF;3;SEA
3.5;2022;04/08/2022;50.50;B. Crawford (L);$15;SS;5;SF
4.2;2022;04/08/2022;49.75;Jesus Aguilar (R);$12;1B;4;MIA
4.9;2022;04/08/2022;49.65;Josh Bell (S);$15;1B;4;WSH
4.9;2022;04/08/2022;49.45;Juan Soto (L);$23;OF;2;WSH
4.7;2022;04/08/2022;49.40;Ketel Marte (S);$18;2B;2;ARI
3.8;2022;04/08/2022;49.25;Robinson Cano (L);$13;2B;6;NYM
4.9;2022;04/08/2022;48.30;Nelson Cruz (R);$14;1B;3;WSH
4.2;2022;04/08/2022;48.05;G. Cooper (R);$11;OF;2;MIA
5.1;2022;04/08/2022;47.45;M. Maldonado (R);$9;C;9;HOU
5.2;2022;04/08/2022;47.25;Marcus Semien (R);$21;2B;2;TEX
3.5;2022;04/08/2022;47.00;Brandon Belt (L);$19;1B;2;SF
4;2022;04/08/2022;46.95;Gary Sanchez (R);$10;C;7;MIN
4.7;2022;04/08/2022;46.55;Cooper Hummel (S);$7;OF;1;ARI
4;2022;04/08/2022;46.35;Miguel Sano (R);$10;1B;5;MIN
4.7;2022;04/08/2022;46.25;Drew Ellis (R);$7;3B;9;ARI
4.7;2022;04/08/2022;46.25;Pavin Smith (L);$11;OF;8;ARI
4.2;2022;04/08/2022;46.25;Jorge Soler (R);$13;OF;1;MIA
4;2022;04/08/2022;45.90;Max Kepler (L);$11;OF;9;MIN
4.7;2022;04/08/2022;45.90;G. Perdomo (S);$12;SS;7;ARI
5.2;2022;04/08/2022;45.85;Corey Seager (L);$20;SS;3;TEX
4;2022;04/08/2022;45.80;A. Kirilloff (L);$12;OF;6;MIN
5.2;2022;04/08/2022;45.75;Adolis Garcia (R);$12;OF;6;TEX
5.2;2022;04/08/2022;45.75;Andy Ibanez (R);$11;3B;8;TEX
5.2;2022;04/08/2022;45.65;Brad Miller (L);$10;OF;1;TEX
4.7;2022;04/08/2022;45.40;David Peralta (L);$8;OF;5;ARI
4;2022;04/08/2022;45.10;Ryan Jeffers (R);$7;C;8;MIN
5.3;2022;04/08/2022;45.10;J. India (R);$18;2B;1;CIN
3.5;2022;04/08/2022;45.05;Wilmer Flores (R);$8;3B;6;SF
3.5;2022;04/08/2022;44.90;M. Yastrzemski (L);$12;OF;1;SF
3.5;2022;04/08/2022;44.60;Joc Pederson (L);$12;OF;4;SF
5.2;2022;04/08/2022;44.60;W. Calhoun (L);$8;OF;9;TEX
4.7;2022;04/08/2022;44.30;C. Walker (R);$10;1B;4;ARI
5.3;2022;04/08/2022;44.00;Tyler Naquin (L);$11;OF;2;CIN
4.2;2022;04/08/2022;43.50;A. Garcia (R);$11;OF;5;MIA
4.2;2022;04/08/2022;43.30;Cal Raleigh (S);$7;C;9;SEA
4;2022;04/08/2022;43.15;Gio Urshela (R);$10;3B;4;MIN
4.7;2022;04/08/2022;43.10;Carson Kelly (R);$13;C;3;ARI
4.2;2022;04/08/2022;43.05;J.P. Crawford (L);$12;SS;8;SEA
4.9;2022;04/08/2022;42.85;A. Escobar (R);$7;SS;8;WSH
5.3;2022;04/08/2022;42.80;Jake Fraley (L);$9;OF;9;CIN
3.5;2022;04/08/2022;42.75;T. Estrada (R);$7;2B;7;SF
5.2;2022;04/08/2022;42.65;Kole Calhoun (L);$9;OF;7;TEX
4.2;2022;04/08/2022;42.65;Adam Frazier (L);$9;2B;1;SEA
4.9;2022;04/08/2022;42.50;Y. Hernandez (L);$7;OF;6;WSH
5.3;2022;04/08/2022;42.40;Tommy Pham (R);$11;OF;3;CIN
5.3;2022;04/08/2022;42.30;T. Stephenson (R);$10;C;5;CIN
3.5;2022;04/08/2022;41.40;Darin Ruf (R);$9;OF;3;SF
4.9;2022;04/08/2022;41.35;C. Hernandez (S);$10;2B;1;WSH
4.9;2022;04/08/2022;40.95;Maikel Franco (R);$8;3B;7;WSH
4.2;2022;04/08/2022;40.20;E. Suarez (R);$13;3B;5;SEA
5.3;2022;04/08/2022;39.90;Kyle Farmer (R);$10;SS;8;CIN
3.5;2022;04/08/2022;39.90;Steven Duggar (L);$9;OF;8;SF
5.3;2022;04/08/2022;39.60;M. Moustakas (L);$9;3B;7;CIN
4.9;2022;04/08/2022;39.55;Keibert Ruiz (S);$11;C;5;WSH
5.3;2022;04/08/2022;37.60;Nick Senzel (R);$10;OF;6;CIN
4.2;2022;04/08/2022;36.65;J. Kelenic (L);$13;OF;6;SEA
3.5;2022;04/08/2022;36.60;Joey Bart (R);$11;C;9;SF
4.2;2022;04/08/2022;28.00;J. Stallings (R);$8;C;8;MIA
4.2;2022;04/08/2022;19.70;Jesus Sanchez (L);$13;OF;3;MIA
4.3;2022;04/09/2022;88.95;Matt Beaty (L);$9;OF;2;SD
4.2;2022;04/09/2022;84.05;Marcell Ozuna (R);$16;OF;4;ATL
4.4;2022;04/09/2022;81.15;Dominic Smith (L);$7;1B;6;NYM
4.4;2022;04/09/2022;79.00;F. Lindor (S);$20;SS;3;NYM
4.4;2022;04/09/2022;77.75;T. Jankowski (L);$7;OF;7;NYM
5.5;2022;04/09/2022;71.00;Max Muncy (L);$17;1B;4;LAD
6.7;2022;04/09/2022;70.00;Ryan McMahon (L);$18;3B;5;COL
5.5;2022;04/09/2022;67.90;F. Freeman (L);$21;1B;2;LAD
4;2022;04/09/2022;66.55;K. Schwarber (L);$19;OF;1;PHI
4.6;2022;04/09/2022;66.35;Niko Goodrum (S);$12;SS;3;HOU
4;2022;04/09/2022;66.20;Jean Segura (R);$14;2B;6;PHI
4;2022;04/09/2022;66.15;Bryce Harper (L);$24;OF;3;PHI
6.7;2022;04/09/2022;66.00;C.J. Cron (R);$16;1B;4;COL
5.5;2022;04/09/2022;65.30;Austin Barnes (R);$7;C;9;LAD
4.3;2022;04/09/2022;65.00;J. Cronenworth (L);$17;2B;4;SD
4.2;2022;04/09/2022;64.95;W. Contreras (R);$9;C;9;ATL
5.5;2022;04/09/2022;64.70;Mookie Betts (R);$25;OF;1;LAD
5.5;2022;04/09/2022;64.35;Edwin Rios (L);$7;1B;6;LAD
4.3;2022;04/09/2022;64.10;Trent Grisham (L);$17;OF;1;SD
4.1;2022;04/09/2022;63.95;DJ LeMahieu (R);$15;3B;5;NYY
4.3;2022;04/09/2022;63.95;Wil Myers (R);$15;OF;8;SD
4.1;2022;04/09/2022;63.95;Aaron Judge (R);$20;OF;2;NYY
4.2;2022;04/09/2022;63.85;Matt Olson (L);$21;1B;2;ATL
4.1;2022;04/09/2022;63.75;G. Stanton (R);$20;OF;4;NYY
6.7;2022;04/09/2022;63.20;C. Blackmon (L);$16;OF;1;COL
6.7;2022;04/09/2022;63.20;B. Rodgers (R);$12;2B;3;COL
5.5;2022;04/09/2022;63.10;Justin Turner (R);$17;3B;5;LAD
6.7;2022;04/09/2022;63.10;Dom Nunez (L);$10;C;9;COL
5.5;2022;04/09/2022;62.80;Trea Turner (R);$24;SS;3;LAD
6.7;2022;04/09/2022;62.60;Kris Bryant (R);$20;OF;2;COL
5.5;2022;04/09/2022;62.50;Gavin Lux (L);$14;2B;8;LAD
3.9;2022;04/09/2022;61.95;G. Springer (R);$20;OF;1;TOR
3.9;2022;04/09/2022;61.95;T. Hernandez (R);$22;OF;4;TOR
3.9;2022;04/09/2022;61.95;L. Gurriel (R);$16;OF;5;TOR
3.9;2022;04/09/2022;61.95;Matt Chapman (R);$16;3B;6;TOR
3.9;2022;04/09/2022;61.95;Bo Bichette (R);$22;SS;2;TOR
3.9;2022;04/09/2022;61.95;V. Guerrero Jr. (R);$22;1B;3;TOR
4;2022;04/09/2022;61.20;N. Castellanos (R);$21;OF;4;PHI
4;2022;04/09/2022;60.90;J.T. Realmuto (R);$16;C;2;PHI
4.1;2022;04/09/2022;60.65;J. Donaldson (R);$18;3B;1;NYY
4.1;2022;04/09/2022;60.45;Anthony Rizzo (L);$17;1B;3;NYY
4;2022;04/09/2022;59.95;Byron Buxton (R);$22;OF;1;MIN
4.2;2022;04/09/2022;59.95;Austin Riley (R);$21;3B;3;ATL
4.3;2022;04/09/2022;59.90;Eric Hosmer (L);$12;1B;6;SD
6.7;2022;04/09/2022;59.90;Jose Iglesias (R);$10;SS;8;COL
4.2;2022;04/09/2022;59.55;D. Swanson (R);$14;SS;8;ATL
4.2;2022;04/09/2022;59.45;Ozzie Albies (S);$19;2B;5;ATL
4.6;2022;04/09/2022;59.05;A. Rendon (R);$14;3B;3;LAA
4;2022;04/09/2022;59.05;Matt Vierling (R);$7;OF;9;PHI
4;2022;04/09/2022;59.00;Jorge Polanco (S);$18;2B;4;MIN
4.6;2022;04/09/2022;58.95;Shohei Ohtani (L);$20;OF;1;LAA
4.4;2022;04/09/2022;58.90;S. Marte (R);$20;OF;2;NYM
4.6;2022;04/09/2022;58.85;M. Brantley (L);$14;OF;2;HOU
4.3;2022;04/09/2022;58.85;Luke Voit (R);$16;1B;5;SD
4;2022;04/09/2022;58.70;Rhys Hoskins (R);$19;1B;5;PHI
4;2022;04/09/2022;58.70;A. Kirilloff (L);$14;OF;5;MIN
4.6;2022;04/09/2022;58.65;Mike Trout (R);$22;OF;2;LAA
4.3;2022;04/09/2022;58.55;Manny Machado (R);$21;3B;3;SD
5.5;2022;04/09/2022;58.40;Ketel Marte (S);$17;2B;2;ARI
4.1;2022;04/09/2022;58.35;Joey Gallo (L);$13;OF;6;NYY
4;2022;04/09/2022;58.35;Alec Bohm (R);$8;3B;8;PHI
4.3;2022;04/09/2022;58.25;Austin Nola (R);$15;C;7;SD
4.2;2022;04/09/2022;58.15;Eddie Rosario (L);$17;OF;1;ATL
3.6;2022;04/09/2022;58.05;H. Bader (R);$14;OF;8;STL
3.5;2022;04/09/2022;57.75;Brandon Lowe (L);$20;2B;1;TB
5.3;2022;04/09/2022;57.60;Nelson Cruz (R);$16;1B;3;WSH
4;2022;04/09/2022;57.55;Carlos Correa (R);$17;SS;3;MIN
3.6;2022;04/09/2022;57.35;P. Goldschmidt (R);$22;1B;2;STL
3.6;2022;04/09/2022;57.35;Tyler O'Neill (R);$22;OF;3;STL
6.7;2022;04/09/2022;57.30;Connor Joe (R);$13;OF;6;COL
3.6;2022;04/09/2022;57.15;Tommy Edman (S);$16;2B;9;STL
4.4;2022;04/09/2022;56.85;Brandon Nimmo (L);$13;OF;1;NYM
4.4;2022;04/09/2022;56.80;Peter Alonso (R);$20;1B;4;NYM
3.6;2022;04/09/2022;56.75;Nolan Arenado (R);$17;3B;4;STL
4.1;2022;04/09/2022;56.50;Jose Abreu (R);$17;1B;3;CWS
3.5;2022;04/09/2022;56.45;Josh Lowe (L);$15;OF;5;TB
4;2022;04/09/2022;56.25;D. Gregorius (L);$10;SS;7;PHI
4.1;2022;04/09/2022;56.15;K. Higashioka (R);$12;C;8;NYY
4.6;2022;04/09/2022;56.10;Jason Castro (L);$10;C;8;HOU
3.5;2022;04/09/2022;56.05;Ji-Man Choi (L);$12;1B;3;TB
4.6;2022;04/09/2022;56.05;Kyle Tucker (L);$21;OF;6;HOU
3.5;2022;04/09/2022;55.95;K. Kiermaier (L);$10;OF;7;TB
4.2;2022;04/09/2022;55.85;S. Perez (R);$20;C;4;KC
6.7;2022;04/09/2022;55.70;S. Hilliard (L);$12;OF;7;COL
4.6;2022;04/09/2022;55.65;Jared Walsh (L);$16;1B;4;LAA
4.1;2022;04/09/2022;55.60;Luis Robert (R);$21;OF;2;CWS
5.5;2022;04/09/2022;55.50;C. Bellinger (L);$12;OF;7;LAD
4.2;2022;04/09/2022;55.40;A. Dickerson (L);$7;OF;7;ATL
3.5;2022;04/09/2022;55.35;Wander Franco (S);$22;SS;2;TB
5.1;2022;04/09/2022;55.30;Alex Verdugo (L);$15;OF;5;BOS
4.2;2022;04/09/2022;55.25;Adam Duvall (R);$12;OF;6;ATL
3.4;2022;04/09/2022;54.85;A. McCutchen (R);$14;OF;1;MIL
3.4;2022;04/09/2022;54.85;H. Renfroe (R);$16;OF;4;MIL
4.1;2022;04/09/2022;54.85;I. Kiner-Falefa (R);$11;SS;9;NYY
4.1;2022;04/09/2022;54.65;G. Torres (R);$11;2B;7;NYY
3.9;2022;04/09/2022;54.45;Raimel Tapia (L);$9;OF;8;TOR
3.9;2022;04/09/2022;54.45;Cavan Biggio (L);$12;2B;9;TOR
5.3;2022;04/09/2022;54.45;Juan Soto (L);$25;OF;2;WSH
3.9;2022;04/09/2022;54.45;A. Kirk (R);$9;C;7;TOR
4.5;2022;04/09/2022;54.30;Myles Straw (R);$15;OF;1;CLE
5.1;2022;04/09/2022;54.20;J.D. Martinez (R);$18;OF;4;BOS
4.6;2022;04/09/2022;54.15;Y. Alvarez (L);$22;OF;4;HOU
3.4;2022;04/09/2022;54.00;C. Yelich (L);$14;OF;3;MIL
3.5;2022;04/09/2022;53.70;R. Arozarena (R);$23;OF;4;TB
4.6;2022;04/09/2022;53.50;Javier Baez (R);$18;SS;3;DET
4.4;2022;04/09/2022;53.40;L. Guillorme (L);$7;2B;8;NYM
4.6;2022;04/09/2022;53.30;A. Meadows (L);$17;OF;2;DET
4.6;2022;04/09/2022;53.30;Akil Baddoo (L);$13;OF;9;DET
4.1;2022;04/09/2022;53.10;Y. Grandal (S);$18;C;4;CWS
3.5;2022;04/09/2022;53.05;B. Phillips (L);$12;OF;9;TB
3.6;2022;04/09/2022;53.05;Dylan Carlson (S);$17;OF;1;STL
4.6;2022;04/09/2022;52.85;Jose Altuve (R);$20;2B;1;HOU
4.5;2022;04/09/2022;52.60;Jose Ramirez (S);$23;3B;3;CLE
3.5;2022;04/09/2022;52.45;B. Crawford (L);$15;SS;5;SF
4.1;2022;04/09/2022;52.20;Eloy Jimenez (R);$16;OF;5;CWS
4.6;2022;04/09/2022;52.10;Matt Duffy (R);$7;2B;5;LAA
4.6;2022;04/09/2022;52.00;Jose Rojas (L);$7;OF;6;LAA
