Empty;Team;Opponent;Empty2;Empty3;wOBA;wOBA_Diff;ISO;ISO_Diff;SLG;SO/AB;HR/AB;SB/G;Pro;My;Ump;Bargain;ParkRank;Runs;Opp_Run;Delta;ML;OU;ML%;Temp;Rating;WindSpd;WindDir;Humidity;Adv15_Cnt;Adv15_Dist;Adv15_EV;Adv15_FB;Adv15_GB;Adv15_LD;Adv15_HH;Adv15_DistDelta;Adv15_EVDelta;Adv15_HHDelta;Adv15_Air;AdvYear_Cnt;AdvYear_Dist;AdvYear_EV;AdvYear_FB;AdvYear_GB;AdvYear_LD;AdvYear_HH;AdvYear_GB/FB;AdvYear_Air;FantYear_PPG;FantYear_Change;FantYear_PlusMinus;FantYear_Consist;FantYear_Upside;FantYear_Duds;FantYear_Count;FantMonth_PPG;FantMonth_Change;FantMonth_Consist;FantMonth_Upside;FantMonth_Duds;FantMonth_Count
;@LAD - D May (R);@LAD;Dodger Stadium;;;7.36;22.2;1.9;0.83;669.1;;6.53;2.6;0%;0;0.39;-0.091;0.154;-0.199;0.513;0.115;;0;0;;67%;50;3;5.2;0.2;253;8;30;47;66.76;4.52;To Right;0.72;1%;7;$0;0.2;28%;11%;30%;60;;;;;;
;@WSH - M Scherzer (R);@WSH;Nationals Park;;;8.04;27.2;1.9;-0.71;382.9;;8.75;2.6;0%;0;0.312;-0.079;0.278;-0.003;0.5;0.229;;0;0;;3%;44;4.1;3.5;0.3;-137;7.5;71;56;84.12;7.81;Out;0.69;35%;8.9;$0;0.5;30%;16%;36%;66;;;;;;
;@WSH - M Scherzer (R);@WSH;Nationals Park;;;7.71;25.8;1.8;-0.82;385.5;;8.53;11.6;0%;0;0.331;-0.142;0.258;-0.098;0.477;0.419;;0;0;;9%;44;4.1;3.5;0.3;-137;7.5;71;56;84.12;7.81;Out;0.69;35%;9;$0;0.5;48%;16%;27%;66;;;;;;
;@LAD - D May (R);@LAD;Dodger Stadium;;;7.8;26.3;1.8;0.6;557.1;;7.2;5.2;0%;0;0;0;0;0;0;;;0;0;;36%;45;3;5.2;0.2;253;8;30;47;66.76;4.52;To Right;0.72;1%;8.1;$0;0.2;33%;18%;43%;60;;;;;;
;@WSH - M Scherzer (R);@WSH;Nationals Park;;;6.56;20.1;1.6;-0.64;468.6;;7.2;2.6;0%;0;0.306;-0.054;0.108;-0.059;0.323;0.385;;0;0;;49%;44;4.1;3.5;0.3;-137;7.5;71;56;84.12;7.81;Out;0.69;35%;5.7;$0;-0.8;10%;1%;15%;64;;;;;;
;@LAD - D May (R);@LAD;Dodger Stadium;;;6.89;21.7;1.7;0.36;626.4;;6.53;0;0%;0;0.338;-0.098;0.083;-0.182;0.389;0.222;;0;0;;98%;28;3;5.2;0.2;253;8;30;47;66.76;4.52;To Right;0.72;1%;7.8;$0;0.2;13%;8%;16%;61;;;;;;
;@WSH - M Scherzer (R);@WSH;Nationals Park;;;6.91;21.2;1.7;-0.95;406.5;;7.86;20.6;0%;0;0.312;-0.349;0.167;-0.633;0.417;0.375;;0;0;;26%;44;4.1;3.5;0.3;-137;7.5;71;56;84.12;7.81;Out;0.69;35%;8.1;$0;0;4%;4%;7%;66;;;;;;
;NYY - G Cole (R);NYY;Nationals Park;;;8.39;27.5;2;-0.58;381.4;;8.97;0;0%;0;0.388;0.029;0.233;0.097;0.548;0.181;;0;0;;11%;44;3.5;4.1;0.2;126;7.5;29;56;84.12;7.81;Out;0.69;35%;9.7;$0;1.1;48%;16%;17%;74;;;;;;
;@WSH - M Scherzer (R);@WSH;Nationals Park;;;5.91;18;1.5;0.04;738.8;;5.87;7.1;0%;0;0.367;-0.011;0.273;0.106;0.545;0.212;;0;0;;55%;39;4.1;3.5;0.3;-137;7.5;71;56;84.12;7.81;Out;0.69;35%;4.3;$0;-0.9;12%;12%;34%;41;;;;;;
;NYY - G Cole (R);NYY;Nationals Park;;;7.07;20.7;1.8;0.09;543.8;;6.98;14.2;0%;0;0.363;0.001;0.216;-0.023;0.477;0.19;;0;0;;37%;39;3.5;4.1;0.2;126;7.5;29;56;84.12;7.81;Out;0.69;35%;8.4;$0;0.5;44%;9%;28%;74;;;;;;
;NYY - G Cole (R);NYY;Nationals Park;;;6.34;19.1;1.6;-0.19;576.4;;6.53;0;0%;0;0.329;-0.102;0.235;0.021;0.456;0.088;;0;0;;80%;50;3.5;4.1;0.2;126;7.5;29;56;84.12;7.81;Out;0.69;35%;6.6;$0;-0.1;16%;9%;28%;74;;;;;;
;@WSH - M Scherzer (R);@WSH;Nationals Park;;;6.59;20.9;1.6;-1.05;411.9;;7.64;0;0%;0;0.406;0.193;0.319;0.171;0.583;0.319;;0;0;;29%;44;4.1;3.5;0.3;-137;7.5;71;56;84.12;7.81;Out;0.69;35%;8;$0;0.3;19%;12%;27%;66;;;;;;
;NYY - G Cole (R);NYY;Nationals Park;;;6.51;19.6;1.6;-0.91;434;;7.42;0;0%;0;0.364;-0.087;0.23;-0.163;0.529;0.166;;0;0;;97%;44;3.5;4.1;0.2;126;7.5;29;56;84.12;7.81;Out;0.69;35%;8.9;$0;1.2;42%;22%;36%;63;;;;;;
;@WSH - M Scherzer (R);@WSH;Nationals Park;;;5.88;17.5;1.5;-0.87;490;;6.75;7.1;0%;0;0.364;-0.102;0.226;-0.117;0.53;0.226;;0;0;;75%;44;4.1;3.5;0.3;-137;7.5;71;56;84.12;7.81;Out;0.69;35%;8.6;$0;0.5;28%;16%;33%;66;;;;;;
;@LAD - D May (R);@LAD;Dodger Stadium;;;6.59;21.4;1.6;0.28;659;;6.31;0;0%;0;0.302;-0.052;0.122;-0.154;0.392;0.162;;0;0;;42%;28;3;5.2;0.2;253;8;30;47;66.76;4.52;To Right;0.72;1%;6.6;$0;0;36%;13%;43%;30;;;;;;
;NYY - G Cole (R);NYY;Nationals Park;;;6.12;19.1;1.5;-0.63;510;;6.75;2.6;0%;0;0.362;0.12;0.299;0.179;0.54;0.307;;0;0;;85%;39;3.5;4.1;0.2;126;7.5;29;56;84.12;7.81;Out;0.69;35%;6.8;$0;-0.1;31%;18%;45%;60;;;;;;
